"KunAnredede","KunEMail","KunStrasse","Added_Time","KunGebDatum","KunNachname","KunNummer","KunPLZ","KunOrt","Record_Status","ID","KunVorname","Modified_Time","KunTelefon"
"Frau","SimoneFaber@gustr.ch","Rasenstrasse 65","1577355583000","1981-07-15","Faber","1000","9414","Hirschberg","0","74599000000032003","Simone","1577355583000","+41716613765"
"Frau","JuliaWaechter@armyspy.com","Via Pestariso 101","1577355583000","1979-01-18","Waechter","1001","9413","St. Anton","0","74599000000032007","Julia","1577355583000","+41718951669"
"Herr","TobiasPfaff@superrito.ch","Via Pestariso 130","1577355583000","1986-05-31","Pfaff","1002","9413","St. Anton","0","74599000000032011","Tobias","1577355583000","+41713707935"
"Herr","MaxZweig@cuvox.de","Via Luzzas 97","1577355583000","1967-12-28","Zweig","1003","9322","Fetzisloo","0","74599000000032015","Max","1577355583000","+41716257586"
"Herr","TobiasAdler@armyspy.ch","Kammelenbergstrasse 98","1577355583000","1972-04-01","Adler","1004","9320","Frasnacht","0","74599000000032019","Tobias","1577355583000","+41714984742"
"Herr","ThorstenMetzger@superrito.ch","Via Albarelle 78","1577355583000","1972-06-08","Metzger","1005","9320","Steineloh","0","74599000000032023","Thorsten","1577355583000","+41713947483"
"Frau","SabrinaSchafer@superrito.ch","Via Stazione 97","1577355583000","1976-09-12","Schäfer","1006","9314","Steinebrunn","0","74599000000032027","Sabrina","1577355583000","+41715788414"
"Frau","LeaFuerst@einrot.ch","Kronwiesenweg 143","1577355583000","1983-05-24","Fuerst","1007","9302","Kronbaehl","0","74599000000032031","Lea","1577355698000","+41717084423"
"Frau","AngelikaKohler@teleworm.us","Bahnhofplatz 20","1577355583000","1995-07-27","Kaehler","1008","9204","Andwil","0","74599000000032035","Angelika","1577355685000","+41718106449"
"Frau","LeonieBosch@cuvox.de","Casa Gielgia 34","1577355583000","1983-02-28","Bosch","1009","9123","Nassen","0","74599000000032039","Leonie","1577355583000","+41714281782"
"Herr","PatrickKoertig@armyspy.com","In Stierwisen 136","1577355583000","1977-01-18","Koertig","1010","9122","Mogelsberg","0","74599000000032043","Patrick","1577355583000","+41718446569"
"Frau","KristinBeyer@rhyta.ch","Via Stazione 72","1577355583000","1973-04-14","Beyer","1011","9063","Stein","0","74599000000032047","Kristin","1577355583000","+41714859770"
"Herr","BenjaminSchmitz@cuvox.de","Obere Haltenstrasse 112","1577355583000","1956-11-05","Schmitz","1012","9062","Lustmaehle","0","74599000000032051","Benjamin","1577355671000","+41715782974"
"Herr","ErikBarth@dayrep.ch","Taesstalstrasse 25","1577355583000","1988-09-18","Barth","1013","9057","Wasserauen","0","74599000000032055","Erik","1577355659000","+41716393188"
"Frau","StephanieWeisz@einrot.ch","Gerbiweg 17","1577355583000","1994-12-27","Weisz","1014","9055","Baehler","0","74599000000032059","Stephanie","1577355639000","+41714619178"
"Herr","ErikKaiser@armyspy.com","Brucknerweg 97","1577355583000","1982-05-28","Kaiser","1015","9054","Haslen","0","74599000000032063","Erik","1577355583000","+41718386038"
"Frau","SaraWirtz@armyspy.ch","Lungolago 89","1577355583000","1974-03-21","Wirtz","1016","9053","Teufen","0","74599000000032067","Sara","1577355583000","+41715423785"
"Frau","KathrinSchuhmacher@gustr.com","Sondanella 69","1577355583000","1958-08-17","Schuhmacher","1017","9036","Grub","0","74599000000032071","Kathrin","1577355583000","+41716816640"
"Herr","ThorstenGlockner@cuvox.de","Brunnenstrasse 10","1577355583000","1954-06-19","Glockner","1018","8964","Rudolfstetten","0","74599000000032075","Thorsten","1577355583000","+41446462196"
"Herr","MarcelKuhn@teleworm.us","Via Camischolas sura 109","1577355583000","1992-04-08","Kuhn","1019","8953","Dietikon","0","74599000000032079","Marcel","1577355583000","+41448327054"
"Frau","KathrinDrechsler@superrito.ch","Damunt 53","1577355583000","1985-03-06","Drechsler","1020","8942","Oberrieden","0","74599000000032083","Kathrin","1577355583000","+41444512210"
"Herr","FrankBosch@einrot.ch","In Stierwisen 149","1577355583000","1969-06-30","Bosch","1021","8932","Mettmenstetten","0","74599000000032087","Frank","1577355583000","+41445992743"
